Id;Nama Makanan;Harga;Deskripsi;Gambar
45;Kwetiau Goreng Sapi;23.400;Kwetiau Goreng=Sayuran+Daging Sapi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619534355242/detail/menueditor_item_722120be2bc94190a3dc4504f4297a6b_1692275518652416919.webp
46;Capcay Kuah Sapi;24.300;Sayuran+Daging Sapi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620062194621/detail/menueditor_item_2ea5074e57184e2c92fc7bab8a135af0_1692276657186371619.webp
47;Nasi Capcay Ayam;24.300;Nasi Di Goreng Siram Sayuran+Ayam+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620082800498/detail/menueditor_item_d74be44cc6cb4ebaa128f91b483c6fdf_1692276681386458250.webp
48;Nasi Capcay Seafood;24.900;Nasi Goreng Putih Siram Sayuran Capcay+Udang+Cumi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620095306077/detail/menueditor_item_5b1c67ce1f1b4d818d30e4776c8ed6b8_1692276983026733392.webp
49;Nasi Capcay Sapi;24.900;Nasi Goreng Putih Siram Sayuran Capcai+Daging Sapi+Bakso Sap. gambar hanya pemanisi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620104095882/detail/menueditor_item_45f6b785eb7541d381b481e32740ef5f_1692277025229406953.webp
50;Sapo Tahu Sapi;23.100;Sayuran+Tofu+DagingSapi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620174763200/detail/menueditor_item_40918ad3d6ee4dd790f0898cc72a6de3_1692277068927070612.webp
51;Kwetiau Goreng Campur;25.200;Kwetiau Goreng=Sayuran+Ayam+Sapi+Udang+Cumi+Bakso+Krupuk;https://food-cms.grab.com/compressed_webp/items/IDITE2023081619550643565/detail/menueditor_item_2c06ca6f957f4255b29c8d9f7acfe2f5_1692275840964232068.webp
52;Sapo Tahu Seafood;23.100;Sayuran+Tofu+Udang+Cumi+Bakso;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620170780269/detail/menueditor_item_6007ae582440432e8e8c0d2f505d46f6_1692277089013760939.webp
53;Sapo Tahu Ayam;20.700;Sayuran+Tofu+Ayam;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620155749703/detail/menueditor_item_d6f947fc2547423c9fdc940738526a77_1692277114824499680.webp
54;Sapo Tahu Polos;19.200;Sayuran+Tofu;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620152164398/detail/menueditor_item_4754a9a9d4614009a5bf21bb6bbaf8c0_1692277148912162863.webp
55;Kangkung Cah Sapi;21.600;Kangkung+Daging Sapi;https://food-cms.grab.com/compressed_webp/items/IDITE2023081620205058122/detail/menueditor_item_f55f2f41720f48448357d3356a6ed9bf_1692282921117424754.webp
